year,fsize,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,a) 1 to 4,2162791,2171610,5303829,4959755,492222,23.362,362901,17.224,2056275,1269906,786369,25.604,41.459,1359578,905577,454001,18.259,27.412,696697,14.047,54.824,293089,293975,747882
1978,b) 5 to 9,664181,683508,4941525,4644809,45203,6.702,27028,4.008,1361042,514231,846811,11.071,29.302,770358,320393,449965,6.898,16.585,590684,12.717,33.171,20160,21122,266577
1978,c) 10 to 19,387821,427210,5717255,5403401,23049,5.449,14545,3.439,1381610,428404,953206,7.928,25.569,754500,274726,479774,5.084,13.963,627110,11.606,27.927,8143,9207,218109
1978,d) 20 to 99,304402,429976,12687966,12020818,28511,6.695,20306,4.768,2826847,748787,2078060,6.229,23.516,1494292,523063,971229,4.351,12.431,1332555,11.085,24.862,4608,6108,334766
1978,e) 100 to 499,45806,165054,9048914,8689504,16519,10.057,14905,9.075,1896334,481275,1415059,5.539,21.823,1179212,411576,767636,4.736,13.571,717122,8.253,27.141,386,982,136783
1978,f) 500 to 999,5651,53415,3455609,3365408,5528,10.417,4834,9.109,638282,158658,479624,4.714,18.966,457210,172127,285083,5.115,13.586,181072,5.380,27.171,33,95,44526
1978,g) 1000 to 2499,3538,66430,4514550,4417110,6285,9.465,6230,9.382,730299,197713,532586,4.476,16.533,536219,213509,322710,4.834,12.140,194080,4.394,24.279,13,78,38307
1978,h) 2500 to 4999,1406,57119,3398786,3333944,4920,8.640,4568,8.022,534182,154238,379944,4.626,16.023,404233,145579,258654,4.367,12.125,129949,3.898,24.250,D,D,D
1978,i) 5000 to 9999,853,50636,3615946,3525283,4297,8.573,3266,6.516,572259,146155,426104,4.146,16.233,389836,115055,274781,3.264,11.058,182423,5.175,22.117,D,D,D
1978,j) 10000+,744,222594,17570777,17308612,16042,7.242,13905,6.277,2260675,500020,1760655,2.889,13.061,1733126,485455,1247671,2.805,10.013,527549,3.048,20.026,D,D,D
1979,a) 1 to 4,2186767,2194572,5310393,5100862,481018,22.508,366146,17.133,1952049,1250499,701550,24.515,38.269,1533200,948116,585084,18.587,30.058,418849,8.211,60.115,293238,294317,772183
1979,b) 5 to 9,704199,724179,5144423,4979383,40396,5.609,32424,4.502,1308482,489472,819010,9.830,26.278,981228,385409,595819,7.740,19.706,327254,6.572,39.412,23335,24358,308191
